"Name";"Source";"Size";"Type";"Alignment";"AC";"HP";"Speed";"Strength";"Dexterity";"Constitution";"Intelligence";"Wisdom";"Charisma";"Saving Throws";"Skills";"Damage Vulnerabilities";"Damage Resistances";"Damage Immunities";"Condition Immunities";"Senses";"Languages";"CR";"Traits";"Actions";"Bonus Actions";"Reactions";"Legendary Actions";"Mythic Actions";"Lair Actions";"Regional Effects";"Environment"
"Horizonback Tortoise";"EGW";"Gargantuan";"Monstrosity";"unaligned";"17 (natural armor), 22 while in its shell";"227 (13d20 + 91)";"20 ft.";"28";"3";"25";"4";"10";"5";"Str +12, Con +10";"Nan";"Nan";"Nan";"poison";"poisoned";"darkvision 60 ft, passive Perception 10";"understands Goblin but can't speak";"8 (3,900 XP)";" Amphibious. The tortoise can breathe air and water. Massive Frame. The tortoise can carry up to 20,000 pounds of weight atop its shell, but moves at half speed if the weight exceeds 10,000 pounds. Medium or smaller creatures can move underneath the tortoise while it's not prone.Any creature under the tortoise when it falls prone is grappled (escape DC 18). Until the grapple ends, the creature is prone and restrained.";" Bite. Melee Weapon Attack: +12 to hit, reach 10 ft., one target. Hit: 28 (3d12 + 9) bludgeoning damage. Shell Defense (Recharge 4–6). The tortoise withdraws into its shell, falls prone, and gains a +5 bonus to AC. While the tortoise is in its shell, its speed is 0 and can't increase. The tortoise can emerge from its shell as an action, whereupon it is no longer prone.";"Nan";"Nan";"Nan";"Nan";"Nan";"Nan";"Nan"
"Horncaller";"GGR";"Medium";"Humanoid (Any Race)";"lawful good";"13 (hide armor)";"39 (6d8 + 12)";"30 ft.";"13";"12";"14";"10";"14";"13";"Nan";"Animal Handling +4, Nature +2, Perception +4";"Nan";"Nan";"Nan";"Nan";"passive Perception 14";"Common plus any one language";"1 (200 XP)";" Innate Spellcasting. The horncaller's innate spellcasting ability is Wisdom (spell save DC 14). The horncaller can innately cast the following spells, requiring no material components:1/day each: bless, conjure animals Speak with Beasts. The horncaller can communicate with beasts as if they shared a language.";" Multiattack. The horncaller makes two melee attacks with its staff and uses One with the Worldsoul. Staff. Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 4 (1d6 + 1) piercing damage, or 5 (1d8 + 1) bludgeoning damage if used with two hands. One with the Worldsoul. The horncaller chooses one beast it can see within 30 feet of it. If the beast can hear the horncaller, the beast uses its reaction to make one melee attack against a target that the horncaller can see.";"Nan";"Nan";"Nan";"Nan";"Nan";"Nan";"Nan"
"Horned Devil";"MM";"Large";"Fiend (Devil)";"lawful evil";"18 (natural armor)";"178 (17d10 + 85)";"20 ft., fly 60 ft.";"22";"17";"21";"12";"16";"17";"Str +10, Dex +7, Wis +7, Cha +7";"Nan";"Nan";"cold; bludgeoning, piercing, and slashing from nonmagical attacks that aren't silvered";"fire, poison";"poisoned";"darkvision 120 ft., passive Perception 13";"Infernal, telepathy 120 ft.";"11 (7,200 XP)";" Devil's Sight. Magical darkness doesn't impede the devil's darkvision. Magic Resistance. The devil has advantage on saving throws against spells and other magical effects.";" Multiattack. The devil makes three melee attacks: two with its fork and one with its tail. It can use Hurl Flame in place of any melee attack. Fork. Melee Weapon Attack: +10 to hit, reach 10 ft., one target. Hit: 15 (2d8 + 6) piercing damage. Tail. Melee Weapon Attack: +10 to hit, reach 10 ft., one target. Hit: 10 (1d8 + 6) piercing damage. If the target is a creature other than an undead or a construct, it must succeed on a DC 17 Constitution saving throw or lose 10 (3d6) hit points at the start of each of its turns due to an infernal wound. Each time the devil hits the wounded target with this attack, the damage dealt by the wound increases by 10 (3d6). Any creature can take an action to stanch the wound with a successful DC 12 Wisdom (Medicine) check. The wound also closes if the target receives magical healing. Hurl Flame. Ranged Spell Attack: +7 to hit, range 150 ft., one target. Hit: 14 (4d6) fire damage. If the target is a flammable object that isn't being worn or carried, it also catches fire.";"Nan";"Nan";"Nan";"Nan";"Nan";"Nan";"Nan"
"Howler";"MPMM";"Large";"Fiend";"chaotic evil";"16 (natural armor)";"90 (12d10 + 24)";"40 ft.";"17";"16";"15";"5";"14";"6";"Nan";"Perception +5";"Nan";"cold, fire, lightning; bludgeoning, piercing, and slashing from nonmagical attacks";"Nan";"frightened";"darkvision 60 ft., passive Perception 15";"understands Abyssal but can't speak";"8 (3,900 XP)";" Pack Tactics. A howler has advantage on attack rolls against a creature if at least one of the howler's allies is within 5 feet of the creature and the ally isn't incapacitated.";" Multiattack. The howler makes two Rending Bite attacks. Rending Bite. Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 10 (2d6 + 3) piercing damage, plus 22 (4d10) psychic damage if the target is frightened. This attack ignores damage resistance. Mind-Breaking Howl (Recharge 4–6). The howler emits a keening howl in a 60-foot cone. Each creature in that area must succeed on a DC 13 Wisdom saving throw or take 16 (3d10) psychic damage and be frightened until the end of the howler's next turn. While a creature is frightened in this way, its speed is halved, and it is incapacitated. A target that successfully saves is immune to the Mind-Breaking Howl of all howlers for the next 24 hours.";"Nan";"Nan";"Nan";"Nan";"Nan";"Nan";"Desert, Grassland, Hill, Underdark"
"Howler";"MTF";"Large";"Fiend";"chaotic evil";"16 (natural armor)";"90 (12d10 + 24)";"40 ft.";"17";"16";"15";"5";"20";"6";"Nan";"Perception +8";"Nan";"cold, fire, lightning; bludgeoning, piercing, and slashing from nonmagical attacks";"Nan";"frightened";"darkvision 60 ft., passive Perception 15";"understands Abyssal but can't speak";"8 (3,900 XP)";" Pack Tactics. A howler has advantage on attack rolls against a creature if at least one of the howler's allies is within 5 feet of the creature and the ally isn't incapacitated.";" Multiattack. The howler makes two bite attacks. Rending Bite. Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 10 (2d6 + 3) piercing damage. If the target is frightened it takes an additional 22 (4d10) psychic damage. This attack ignores damage resistance. Mind-Breaking Howl (Recharge 6). The howler emits a keening howl in a 60-foot cone. Each creature in that area that isn't deafened must succeed on a DC 16 Wisdom saving throw or be frightened until the end of the howler's next turn. While a creature is frightened in this way, its speed is halved, and it is incapacitated. A target that successfully saves is immune to the Mind-Breaking Howl of all howlers for the next 24 hours.";"Nan";"Nan";"Nan";"Nan";"Nan";"Nan";"Desert, Grassland, Hill, Underdark"
"Hulil Lutan";"EGW";"Medium";"Humanoid (Mountain Dwarf)";"neutral evil";"13 (leather armor)";"33 (6d8 + 6)";"15 ft.";"11";"14";"12";"10";"13";"14";"Nan";"Deception +4, Persuasion +4, Religion +2";"Nan";"poison";"Nan";"Nan";"darkvision 60 ft., passive Perception 11";"any one language (usually Common), Dwarvish";"2 (450 XP)";" Dark Devotion. Hulil has advantage on saving throws against being charmed or frightened. Dwarven Resilience. Hulil has advantage on saving throws against poison, and has resistance against poison damage. Spellcasting. Hulil is a 4th-level spellcaster. Its spellcasting ability is Wisdom (spell save DC 11, +3 to hit with spell attacks). Hulil has the following cleric spells prepared:Cantrips (at will): light, sacred flame, thaumaturgy1st level (4 slots): command, inflict wounds, shield of faith2nd level (3 slots): hold person, spiritual weapon";" Multiattack. Hulil makes two melee attacks. Dagger. Melee or Ranged Weapon Attack: +4 to hit, reach 5 ft. or range 20/60 ft., one creature. Hit: 4 (1d4 + 2) piercing damage.";"Nan";"Nan";"Nan";"Nan";"Nan";"Nan";"Nan"
"Hundred-Handed One";"MOT";"Huge";"Giant";"lawful neutral";"15 (natural armor)";"243 (18d12 + 126)";"40 ft.";"26";"15";"25";"14";"16";"16";"Con +12, Wis +8";"Intimidation +8, Perception +8";"Nan";"Nan";"Nan";"frightened";"darkvision 120 ft., passive Perception 18";"Giant";"15 (13,000 XP)";" Reactive. The giant can take one reaction on every turn in a combat. Vigilant. The giant can't be surprised.";" Multiattack. The giant makes four longsword attacks or two rock attacks. Longsword. Melee Weapon Attack: +13 to hit, reach 15 ft., one target. Hit: 21 (3d8 + 8) slashing damage. Rock. Ranged Weapon Attack: +13 to hit, range 60/240 ft., one target. Hit: 30 (4d10 + 8) bludgeoning damage. If the target is a creature, it must succeed on a DC 21 Strength saving throw or be knocked prone.";"Nan";" Deflect Attack. The giant adds 5 to its AC against one weapon attack that would hit it. To do so, the giant must see the attacker and be wielding a melee weapon.";"Nan";"Nan";"Nan";"Nan";"Nan"
"Hungry Sorrowsworn";"MPMM";"Medium";"Monstrosity";"neutral evil";"17 (natural armor)";"225 (30d8 + 90)";"30 ft.";"19";"10";"17";"6";"11";"6";"Nan";"Nan";"Nan";"bludgeoning, piercing, and slashing while in dim light or darkness";"Nan";"Nan";"darkvision 60 ft., passive Perception 10";"Common";"11 (7,200 XP)";" Life Hunger. If a creature within 60 feet of the sorrowsworn regains hit points, the sorrowsworn gains two benefits until the end of its next turn: it has advantage on attack rolls, and its Bite deals an extra 22 (4d10) necrotic damage on a hit.";" Multiattack. The sorrowsworn makes one Bite attack and one Claw attack. Bite. Melee Weapon Attack: +8 to hit, reach 5 ft., one target. Hit: 8 (1d8 + 4) piercing damage plus 13 (3d8) necrotic damage. Claw. Melee Weapon Attack: +8 to hit, reach 10 ft., one target. Hit: 18 (4d6 + 4) slashing damage. If the target is Medium or smaller, it is grappled (escape DC 16), and it is restrained until the grapple ends. While grappling a creature, the sorrowsworn can't make a Claw attack.";"Nan";"Nan";"Nan";"Nan";"Nan";"Nan";"Forest, Underdark, Urban"
"Hunter Shark";"MM";"Large";"Beast";"unaligned";"12 (natural armor)";"45 (6d10 + 12)";"0 ft., swim 40 ft.";"18";"13";"15";"1";"10";"4";"Nan";"Perception +2";"Nan";"Nan";"Nan";"Nan";"blindsight 30 ft., passive Perception 12";"—";"2 (450 XP)";" Blood Frenzy. The shark has advantage on melee attack rolls against any creature that doesn't have all its hit points. Water Breathing. The shark can breathe only underwater.";" Bite. Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 13 (2d8 + 4) piercing damage.";"Nan";"Nan";"Nan";"Nan";"Nan";"Nan";"Underwater"
"Husk Zombie";"EGW";"Medium";"Undead";"neutral evil";"10";"37 (5d8 + 15)";"35 ft.";"16";"10";"16";"3";"6";"5";"Con +5, Wis +0";"Nan";"Nan";"Nan";"poison";"poisoned";"darkvision 60 ft., passive Perception 8";"understands the languages it knew in life but can't speak";"1 (200 XP)";" Curse of the Husk. A humanoid slain by a melee attack from the zombie revives as a husk zombie on its next turn. Undead Fortitude. If damage reduces the zombie to 0 hit points, it must make a Constitution saving throw with a DC of 5 + the damage taken, unless the damage is radiant or from a critical hit. On a success, the zombie drops to 1 hit point instead.";" Multiattack. The zombie makes two claw attacks. For each of these attacks that reduces a creature to 0 hit points, the zombie can make an additional claw attack. Claw. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 6 (1d6 + 3) slashing damage.";"Nan";"Nan";"Nan";"Nan";"Nan";"Nan";"Nan"
"Hutijin";"MPMM";"Large";"Fiend (Devil)";"lawful evil";"19 (natural armor)";"200 (16d10 + 112)";"30 ft., fly 60 ft.";"27";"15";"25";"23";"19";"25";"Dex +9, Con +14, Wis +11";"Intimidation +14, Perception +11";"Nan";"cold; bludgeoning, piercing, and slashing from nonmagical attacks that aren't silvered";"fire, poison";"charmed, exhaustion, frightened, poisoned";"truesight 120 ft., passive Perception 21";"all, telepathy 120 ft.";"21 (33,000 XP)";" Infernal Despair. Each creature within 30 feet of Hutijin that isn't a devil makes saving throws with disadvantage. Legendary Resistance (3/Day). If Hutijin fails a saving throw, he can choose to succeed instead. Magic Resistance. Hutijin has advantage on saving throws against spells and other magical effects. Regeneration. Hutijin regains 20 hit points at the start of his turn. If he takes radiant damage, this trait doesn't function at the start of his next turn. Hutijin dies only if he starts his turn with 0 hit points and doesn't regenerate.";" Multiattack. Hutijin makes one Bite attack, one Claw attack, one Mace attack, and one Tail attack. Bite. Melee Weapon Attack: +15 to hit, reach 5 ft., one target. Hit: 15 (2d6 + 8) fire damage. The target must succeed on a DC 22 Constitution saving throw or become poisoned. While poisoned in this way, the target can't regain hit points, and it takes 10 (3d6) poison damage at the start of each of its turns. The poisoned target can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. Claw. Melee Weapon Attack: +15 to hit, reach 10 ft., one target. Hit: 17 (2d8 + 8) cold damage. Mace. Melee Weapon Attack: +15 to hit, reach 5 ft., one target. Hit: 15 (2d6 + 8) force damage. Tail. Melee Weapon Attack: +15 to hit, reach 10 ft., one target. Hit: 19 (2d10 + 8) thunder damage. Spellcasting. Hutijin casts one of the following spells, requiring no material components and using Charisma as the spellcasting ability (spell save DC 22):At will: alter self (can become Medium when changing his appearance), detect magic, hold monster, invisibility (self only), lightning bolt, suggestion, wall of fire3/day: dispel magic Teleport. Hutijin teleports, along with any equipment he is wearing and carrying, up to 120 feet to an unoccupied space he can see.";"Nan";" Fearful Voice (Recharge 5–6). In response to taking damage, Hutijin utters a dreadful word of power. Each creature within 30 feet of him that isn't a devil must succeed on a DC 22 Wisdom saving throw or become frightened of him for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. A creature that saves against this effect is immune to his Fearful Voice for 24 hours.";" Attack. Hutijin makes one Claw, Mace, or Tail attack. Teleport. Hutijin uses Teleport. Lightning Storm (Costs 2 Actions). Hutijin releases lightning in a 30-foot radius, blocked only by total cover. All other creatures in that area must each make a DC 22 Dexterity saving throw, taking 18 (4d8) lightning damage on a failed save, or half as much damage on a successful one.";"Nan";"Nan";"Nan";"Nan"
"Hutijin";"MTF";"Large";"Fiend (Devil)";"lawful evil";"19 (natural armor)";"200 (16d10 + 112)";"30 ft., fly 60 ft.";"27";"15";"25";"23";"19";"25";"Dex +9, Con +14, Wis +11";"Intimidation +14, Perception +11";"Nan";"cold; bludgeoning, piercing, and slashing from nonmagical attacks that aren't silvered";"fire, poison";"charmed, exhaustion, frightened, poisoned";"truesight 120 ft., passive Perception 21";"all, telepathy 120 ft.";"21 (33,000 XP)";" Infernal Despair. Each creature within 15 feet of Hutijin that isn't a devil makes saving throws with disadvantage. Innate Spellcasting. Hutijin's innate spellcasting ability is Charisma (spell save DC 22). He can innately cast the following spells, requiring no material components:At will: alter self (can become Medium when changing his appearance), animate dead, detect magic, hold monster, invisibility (self only), lightning bolt, suggestion, wall of fire3/day: dispel magic1/day each: heal, symbol (hopelessness only) Legendary Resistance (3/Day). If Hutijin fails a saving throw, he can choose to succeed instead. Magic Resistance. Hutijin has advantage on saving throws against spells and other magical effects. Magic Weapons. Hutijin's weapon attacks are magical. Regeneration. Hutijin regains 20 hit points at the start of his turn. If he takes radiant damage, this trait doesn't function at the start of his next turn. Hutijin dies only if he starts his turn with 0 hit points and doesn't regenerate.";" Multiattack. Hutijin makes four attacks: one with his bite, one with his claw, one with his mace, and one with his tail. Bite. Melee Weapon Attack: +15 to hit, reach 5 ft., one target. Hit: 15 (2d6 + 8) piercing damage. The target must succeed on a DC 22 Constitution saving throw or become poisoned. While poisoned in this way, the target can't regain hit points, and it takes 10 (3d6) poison damage at the start of each of its turns. The poisoned target can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. Claw. Melee Weapon Attack: +15 to hit, reach 10 ft., one target. Hit: 17 (2d8 + 8) slashing damage. Mace. Melee Weapon Attack: +15 to hit, reach 5 ft., one target. Hit: 15 (2d6 + 8) bludgeoning damage. Tail. Melee Weapon Attack: +15 to hit, reach 10 ft., one target. Hit: 19 (2d10 + 8) bludgeoning damage. Teleport. Hutijin magically teleports, along with any equipment he is wearing and carrying, up to 120 feet to an unoccupied space he can see.";"Nan";" Fearful Voice (Recharge 5–6). In response to taking damage, Hutijin utters a dreadful word of power. Each creature within 30 feet of him that isn't a devil must succeed on a DC 22 Wisdom saving throw or become frightened of him for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. A creature that saves against this effect is immune to Hutijin's Fearful Voice for 24 hours.";" Attack. Hutijin attacks once with his mace. Lightning Storm (Costs 2 Actions). Hutijin releases lightning in a 20-foot radius. All other creatures in that area must each make a DC 22 Dexterity saving throw, taking 18 (4d8) lightning damage on a failed save, or half as much damage on a successful one. Teleport. Hutijin uses his Teleport action.";"Nan";"Nan";"Nan";"Nan"
"Hybrid Brute";"GGR";"Medium";"Humanoid (Simic Hybrid)";"neutral good";"18 (natural armor)";"52 (8d8 + 16)";"30 ft.";"18";"11";"15";"8";"11";"9";"Nan";"Nan";"Nan";"Nan";"Nan";"Nan";"passive Perception 10";"Common plus any one language";"2 (450 XP)";" Amphibious. The hybrid can breathe air and water.";" Multiattack. The hybrid makes two claw attacks. Claw. Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 7 (1d6 + 4) slashing damage.";"Nan";"Nan";"Nan";"Nan";"Nan";"Nan";"Nan"
"Hybrid Flier";"GGR";"Medium";"Humanoid (Simic Hybrid)";"neutral good";"13";"39 (6d8 + 12)";"30 ft., fly 40 ft.";"12";"16";"14";"11";"10";"11";"Nan";"Nan";"Nan";"acid";"Nan";"Nan";"passive Perception 10";"Common plus any one language";"2 (450 XP)";"Nan";" Multiattack. The hybrid makes two javelin attacks. It can replace one javelin attack with Spit Acid. Javelin. Melee or Ranged Weapon Attack: +5 to hit, reach 5 ft. or range 30/120 ft., one target. Hit: 6 (1d6 + 3) piercing damage. Spit Acid. Ranged Weapon Attack: +5 to hit, range 20/60 ft., one target. Hit: 10 (4d4) acid damage.";"Nan";"Nan";"Nan";"Nan";"Nan";"Nan";"Nan"
"Hybrid Poisoner";"GGR";"Medium";"Humanoid (Simic Hybrid)";"neutral good";"14";"26 (4d8 + 8)";"40 ft.";"12";"19";"14";"12";"13";"12";"Dex +6, Con +4";"Athletics +3, Perception +3, Stealth +6";"Nan";"Nan";"poison";"poisoned";"darkvision 30 ft., passive Perception 13";"Common plus any one language";"1 (200 XP)";" Assassinate. During its first turn, the hybrid poisoner has advantage on attack rolls against any creature that hasn't taken a turn. Any hit the hybrid scores against a surprised creature is a critical hit. Poisonous Skin. Any creature that touches the hybrid or hits it with a melee attack while within 5 feet of it takes 3 (1d6) poison damage.";" Toxic Touch. Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 7 (2d6) bludgeoning damage, and the target must succeed on a DC 12 Constitution saving throw or become poisoned for 1 minute. At the end of each of the poisoned target's turns, it must repeat the save, taking 3 (1d6) poison damage on a failed save, or ending the effect on itself on a successful one.";"Nan";"Nan";"Nan";"Nan";"Nan";"Nan";"Nan"
"Hybrid Shocker";"GGR";"Medium";"Humanoid (Simic Hybrid)";"neutral good";"12";"39 (6d8 + 12)";"30 ft.";"13";"14";"14";"10";"12";"9";"Nan";"Nan";"Nan";"Nan";"lightning";"Nan";"passive Perception 11";"Common plus any one language";"1 (200 XP)";" Electrified Body. Any creature that touches the hybrid or hits it with a melee attack while within 5 feet of it takes 5 (1d10) lightning damage. Illumination. The hybrid sheds bright light in a 10-foot radius and dim light for an additional 10 feet.";" Multiattack. The hybrid makes two attacks: one with its shocking touch and one with its tentacles. Shocking Touch. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 9 (2d8) lightning damage. Tentacles. Melee Weapon Attack: +4 to hit, reach 15 ft., one creature. Hit: The target is grappled (escape DC 11), and the hybrid pulls the target up to 15 feet straight toward it. Until this grapple ends, the target takes 5 (1d10) lightning damage at the start of each of its turns, and the hybrid shocker can't use its tentacles on another creature.";"Nan";"Nan";"Nan";"Nan";"Nan";"Nan";"Nan"
"Hybrid Spy";"GGR";"Medium";"Humanoid (Simic Hybrid)";"neutral good";"13";"22 (4d8 + 4)";"30 ft., climb 30 ft.";"11";"17";"12";"13";"14";"9";"Nan";"Perception +4, Stealth +5";"Nan";"Nan";"Nan";"Nan";"darkvision 60 ft., passive Perception 14";"Common plus any one language";"1/2 (100 XP)";" Chameleon Skin. The hybrid has advantage on Dexterity (Stealth) checks made to hide. Spider Climb. The hybrid can climb difficult surfaces, including upside down on ceilings, without needing to make an ability check.";" Multiattack. The hybrid makes two shortsword attacks. Shortsword. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 6 (1d6 + 3) piercing damage.";"Nan";"Nan";"Nan";"Nan";"Nan";"Nan";"Nan"
"Hydra";"MM";"Huge";"Monstrosity";"unaligned";"15 (natural armor)";"172 (15d12 + 75)";"30 ft., swim 30 ft.";"20";"12";"20";"2";"10";"7";"Nan";"Perception +6";"Nan";"Nan";"Nan";"Nan";"darkvision 60 ft., passive Perception 16";"—";"8 (3,900 XP)";" Hold Breath. The hydra can hold its breath for 1 hour. Multiple Heads. The hydra has five heads. While it has more than one head, the hydra has advantage on saving throws against being blinded, charmed, deafened, frightened, stunned, and knocked unconscious.Whenever the hydra takes 25 or more damage in a single turn, one of its heads dies. If all its heads die, the hydra dies.At the end of its turn, it grows two heads for each of its heads that died since its last turn, unless it has taken fire damage since its last turn. The hydra regains 10 hit points for each head regrown in this way. Reactive Heads. For each head the hydra has beyond one, it gets an extra reaction that can be used only for opportunity attacks. Wakeful. While the hydra sleeps, at least one of its heads is awake.";" Multiattack. The hydra makes as many bite attacks as it has heads. Bite. Melee Weapon Attack: +8 to hit, reach 10 ft., one target. Hit: 10 (1d10 + 5) piercing damage.";"Nan";"Nan";"Nan";"Nan";"Nan";"Nan";"Swamp"
"Hydroloth";"MPMM";"Medium";"Fiend (Yugoloth)";"neutral evil";"15";"135 (18d8 + 54)";"20 ft., swim 40 ft.";"12";"21";"16";"19";"10";"14";"Nan";"Insight +4, Perception +4";"fire";"cold, lightning; bludgeoning, piercing, and slashing from nonmagical attacks";"acid, poison";"poisoned";"blindsight 60 ft., darkvision 60 ft., passive Perception 14";"Abyssal, Infernal, telepathy 60 ft.";"9 (5,000 XP)";" Amphibious. The hydroloth can breathe air and water. Magic Resistance. The hydroloth has advantage on saving throws against spells and other magical effects. Secure Memory. The hydroloth is immune to the waters of the River Styx, as well as any effect that would steal or modify its memories or detect or read its thoughts. Watery Advantage. While submerged in liquid, the hydroloth has advantage on attack rolls.";" Multiattack. The hydroloth makes two Bite or Claw attacks. It can replace one attack with a use of Spellcasting. Bite. Melee Weapon Attack: +9 to hit, reach 5 ft., one target. Hit: 16 (2d10 + 5) force damage plus 9 (2d10) psychic damage. Claw. Melee Weapon Attack: +9 to hit, reach 5 ft., one target. Hit: 14 (2d8 + 5) force damage plus 9 (2d10) psychic damage. Spellcasting. The hydroloth casts one of the following spells, requiring no material components and using Intelligence as the spellcasting ability (spell save DC 16):At will: darkness, detect magic, dispel magic, invisibility (self only)3/day each: control water, crown of madness, fear, suggestion Steal Memory (1/Day). The hydroloth targets one creature it can see within 60 feet of it. The target takes 14 (4d6) psychic damage, and it must make a DC 16 Intelligence saving throw. On a successful save, the target becomes immune to this hydroloth's Steal Memory for 24 hours. On a failed save, the target loses all proficiencies; it can't cast spells; it can't understand language; and if its Intelligence and Charisma scores are higher than 5, they become 5. Each time the target finishes a long rest, it can repeat the saving throw, ending the effect on itself on a success. A greater restoration or remove curse spell cast on the target ends this effect early. Teleport. The hydroloth teleports, along with any equipment it is wearing or carrying, up to 60 feet to an unoccupied space it can see.";"Nan";"Nan";"Nan";"Nan";"Nan";"Nan";"Nan"
"Hydroloth";"MTF";"Medium";"Fiend (Yugoloth)";"neutral evil";"15";"135 (18d8 + 54)";"20 ft., swim 40 ft.";"12";"21";"16";"19";"10";"14";"Nan";"Insight +4, Perception +4";"fire";"cold, lightning; bludgeoning, piercing, and slashing from nonmagical attacks";"acid, poison";"poisoned";"blindsight 60 ft., darkvision 60 ft., passive Perception 14";"Abyssal, Infernal, telepathy 60 ft.";"9 (5,000 XP)";" Amphibious. The hydroloth can breathe air and water. Innate Spellcasting. The hydroloth's innate spellcasting ability is Intelligence (spell save DC 16). It can innately cast the following spells, requiring no material components:At will: darkness, detect magic, dispel magic, invisibility (self only), water walk3/day each: control water, crown of madness, fear, phantasmal killer, suggestion Magic Resistance. The hydroloth has advantage on saving throws against spells and other magical effects. Magic Weapons. The hydroloth's weapon attacks are magical. Secure Memory. The hydroloth is immune to the waters of the River Styx as well as any effect that would steal or modify its memories or detect or read its thoughts. Watery Advantage. While submerged in liquid, the hydroloth has advantage on attack rolls.";" Multiattack. The hydroloth makes two melee attacks. In place of one of these attacks, it can cast one spell that takes 1 action to cast. Claws. Melee Weapon Attack: +9 to hit, reach 5 ft., one target. Hit: 14 (2d8 + 5) slashing damage. Bite. Melee Weapon Attack: +9 to hit, reach 5 ft., one target. Hit: 16 (2d10 + 5) piercing damage. Steal Memory (1/Day). The hydroloth targets one creature it can see within 60 feet of it. The target takes 4d6 psychic damage, and it must make a DC 16 Intelligence saving throw. On a successful save, the target becomes immune to this hydroloth's Steal Memory for 24 hours. On a failed save, the target loses all proficiencies, it can't cast spells, it can't understand language, and if its Intelligence and Charisma scores are higher than 5, they become 5. Each time the target finishes a long rest, it can repeat the saving throw, ending the effect on itself on a success. A greater restoration or remove curse spell cast on the target ends this effect early. Teleport. The hydroloth magically teleports, along with any equipment it is wearing or carrying, up to 60 feet to an unoccupied space it can see.";"Nan";"Nan";"Nan";"Nan";"Nan";"Nan";"Nan"
"Hyena";"MM";"Medium";"Beast";"unaligned";"11";"5 (1d8 + 1)";"50 ft.";"11";"13";"12";"2";"12";"5";"Nan";"Perception +3";"Nan";"Nan";"Nan";"Nan";"passive Perception 13";"—";"0 (0 or 10 XP)";" Pack Tactics. The hyena has advantage on an attack roll against a creature if at least one of the hyena's allies is within 5 feet of the creature and the ally isn't incapacitated.";" Bite. Melee Weapon Attack: +2 to hit, reach 5 ft., one target. Hit: 3 (1d6) piercing damage.";"Nan";"Nan";"Nan";"Nan";"Nan";"Nan";"Desert, Forest, Grassland, Hill"
